,ID,Age,Home,Type,Interaction Modifier
5193,10349,20,4954,adult,1
5194,5639,69,2684,pensioner,1
5195,637,33,295,public_worker,1
5196,9315,28,4466,adult,1
5197,10351,54,4954,adult,1
5198,636,11,295,under_age,1
5199,5640,4,2685,under_age,1
5200,9314,30,4466,adult,1
5201,5642,40,2685,adult,1
5202,10350,25,4954,adult,1
5203,638,24,296,adult,1
5204,9313,2,4466,under_age,1
5205,5641,36,2685,adult,1
5206,10352,59,4954,adult,1
5207,639,52,296,adult,1
5208,9317,81,4467,pensioner,1
5209,9316,77,4467,pensioner,1
5210,5644,32,2686,adult,1
5211,10353,68,4955,pensioner,1
5212,640,39,297,teacher,1
5213,9318,1,4468,under_age,1
5214,5643,31,2686,adult,1
5215,10354,65,4956,public_worker,1
5216,641,44,297,adult,1
5217,9319,28,4468,adult,1
5218,10355,56,4956,adult,1
5219,6090,32,2905,adult,1
5220,2986,14,1385,under_age,1
5221,2988,54,1385,public_worker,1
5222,6093,45,2906,public_worker,1
5223,2987,20,1385,adult,1
5224,6092,9,2906,under_age,1
5225,6094,76,2907,pensioner,1
5226,2989,58,1386,adult,1
5227,6095,90,2908,pensioner,1
5228,2990,45,1387,adult,1
5229,6097,39,2909,adult,1
5230,2992,51,1388,adult,1
5231,6096,52,2909,adult,1
5232,2991,56,1388,adult,1
5233,6099,25,2910,adult,1
5234,2995,57,1389,adult,1
5235,6098,27,2910,adult,1
5236,2993,25,1389,adult,1
5237,6101,63,2911,adult,1
5238,2994,50,1389,adult,1
5239,6100,62,2911,adult,1
5240,2996,67,1390,adult,1
5241,6103,93,2912,pensioner,1
5242,2998,46,1391,adult,1
5243,6102,86,2912,pensioner,1
5244,6104,22,2913,adult,1
5245,2997,46,1391,adult,1
5246,6105,56,2914,adult,1
5247,2999,74,1392,pensioner,1
5248,3000,67,1393,adult,1
5249,6107,44,2915,adult,1
5250,3001,82,1394,pensioner,1
5251,6106,16,2915,under_age,1
5252,3004,33,1395,adult,1
5253,6108,14,2916,under_age,1
5254,3002,3,1395,under_age,1
5255,6110,46,2916,adult,1
5256,3003,32,1395,adult,1
5257,6109,47,2916,adult,1
5258,3006,65,1396,adult,1
5259,6111,53,2917,public_worker,1
5260,3005,87,1396,pensioner,1
5261,6112,20,2918,adult,1
5262,3007,13,1397,under_age,1
5263,6114,45,2918,public_worker,1
5264,5150,65,2434,adult,1
5265,8261,76,3944,pensioner,1
5266,5153,72,2435,pensioner,1
5267,5152,70,2435,pensioner,1
5268,8262,28,3945,public_worker,1
5269,8263,27,3945,adult,1
5270,5154,51,2436,adult,1
5271,8264,42,3946,adult,1
5272,5155,5,2437,under_age,1
5273,5157,39,2437,adult,1
5274,8265,55,3947,public_worker,1
5275,5156,6,2437,under_age,1
5276,5158,29,2437,adult,1
5277,8267,34,3948,public_worker,1
5278,8266,12,3948,under_age,1
5279,5159,84,2438,pensioner,1
5280,8268,40,3948,public_worker,1
5281,5161,52,2439,adult,1
5282,8269,48,3949,adult,1
5283,5160,59,2439,adult,1
5284,8270,46,3949,adult,1
5285,5162,33,2440,adult,1
5286,8271,30,3950,adult,1
5287,5163,59,2441,public_worker,1
5288,8272,42,3951,adult,1
5289,5164,15,2442,under_age,1
5290,8273,70,3952,pensioner,1
5291,5165,49,2442,adult,1
5292,8275,58,3953,adult,1
5293,5166,46,2442,adult,1
5294,8276,52,3953,adult,1
5295,5167,38,2443,adult,1
5296,8274,25,3953,adult,1
5297,5168,19,2444,adult,1
5298,8277,18,3954,under_age,1
5299,5170,58,2444,adult,1
5300,8278,6,3955,under_age,1
5301,5169,58,2444,adult,1
5302,8280,40,3955,public_worker,1
5303,8279,35,3955,adult,1
5304,5171,66,2445,adult,1
5305,8283,32,3956,adult,1
5306,5173,87,2446,pensioner,1
5307,8281,21,3956,adult,1
5308,5172,92,2446,pensioner,1
5309,8282,43,3956,public_worker,1
5310,5174,11,2447,under_age,1
5311,8284,89,3957,pensioner,1
5312,715,54,331,adult,1
5313,143,18,71,under_age,1
5314,7224,23,3451,adult,1
5315,716,54,331,public_worker,1
5316,145,61,71,adult,1
5317,717,69,332,pensioner,1
5318,144,21,71,public_worker,1
5319,7227,44,3452,adult,1
5320,718,67,332,adult,1
5321,146,67,72,adult,1
5322,7229,47,3453,adult,1
5323,720,22,333,medical_professional,1
5324,147,72,72,pensioner,1
5325,719,22,333,adult,1
5326,7228,50,3453,adult,1
5327,148,46,72,adult,1
5328,721,1,334,under_age,1
5329,7230,18,3454,under_age,1
5330,722,23,334,adult,1
5331,149,78,73,pensioner,1
5332,7233,41,3455,adult,1
5333,723,28,334,adult,1
5334,152,29,74,adult,1
5335,7231,14,3455,under_age,1
5336,150,8,74,under_age,1
5337,724,52,335,adult,1
5338,7232,53,3455,adult,1
5339,151,42,74,public_worker,1
5340,725,49,335,adult,1
5341,153,39,75,adult,1
5342,7234,52,3456,public_worker,1
5343,730,31,336,public_worker,1
5344,154,36,75,adult,1
5345,7235,2,3457,under_age,1
5346,7236,7,3457,under_age,1
5347,731,40,336,adult,1
5348,7238,36,3457,public_worker,1
5349,726,0,336,under_age,1
5350,155,53,76,adult,1
5351,7237,42,3457,adult,1
5352,727,1,336,under_age,1
5353,159,36,77,adult,1
5354,728,7,336,under_age,1
5355,7239,41,3458,adult,1
5356,729,9,336,under_age,1
5357,157,10,77,under_age,1
5358,7240,35,3458,adult,1
5359,732,29,337,adult,1
5360,156,10,77,under_age,1
5361,158,36,77,adult,1
5362,733,30,337,adult,1
5363,7241,13,3459,under_age,1
5364,7242,50,3459,adult,1
5365,160,28,78,adult,1
5366,734,9,338,under_age,1
5367,735,13,338,under_age,1
5368,7243,38,3460,adult,1
5369,161,20,79,adult,1
5370,736,14,338,under_age,1
5371,737,20,338,adult,1
5372,7244,10,3461,under_age,1
5373,162,7,80,under_age,1
5374,7245,41,3461,public_worker,1
5375,738,45,338,adult,1
5376,165,50,80,adult,1
5377,7246,54,3461,adult,1
5378,739,50,338,adult,1
5379,163,10,80,under_age,1
5380,7247,20,3462,adult,1
5381,740,51,339,adult,1
5382,164,31,80,teacher,1
5383,7248,46,3462,public_worker,1
5384,742,51,340,adult,1
5385,167,27,81,adult,1
5386,6184,18,2953,under_age,1
5387,2421,44,1116,adult,1
5388,1946,11,896,under_age,1
5389,1093,35,510,public_worker,1
5390,3551,49,1665,adult,1
5391,6185,21,2953,public_worker,1
5392,4024,46,1890,teacher,1
5393,1948,41,896,public_worker,1
5394,2422,67,1117,adult,1
5395,1094,23,511,adult,1
5396,4025,39,1890,adult,1
5397,1947,43,896,adult,1
5398,6188,67,2954,public_worker,1
5399,3553,27,1666,adult,1
5400,1096,56,511,adult,1
5401,6187,59,2954,adult,1
5402,3552,25,1666,public_worker,1
5403,4022,14,1890,under_age,1
5404,2423,20,1118,adult,1
5405,1950,35,897,adult,1
5406,6189,66,2955,adult,1
5407,1095,52,511,public_worker,1
5408,3554,18,1667,under_age,1
5409,4026,67,1891,public_worker,1
5410,2425,54,1118,adult,1
5411,3555,22,1667,public_worker,1
5412,1097,30,512,public_worker,1
5413,1951,33,897,public_worker,1
5414,6190,27,2956,public_worker,1
5415,4027,80,1891,pensioner,1
5416,1949,7,897,under_age,1
5417,2424,45,1118,public_worker,1
5418,3557,67,1668,public_worker,1
5419,6192,68,2957,pensioner,1
5420,1099,42,513,adult,1
5421,4028,45,1892,adult,1
5422,3556,71,1668,pensioner,1
5423,1952,68,898,pensioner,1
5424,6191,68,2957,pensioner,1
5425,2426,41,1119,adult,1
5426,1100,38,513,adult,1
5427,1953,63,898,adult,1
5428,3559,78,1669,pensioner,1
5429,4030,16,1893,under_age,1
5430,1098,11,513,under_age,1
5431,6194,16,2958,under_age,1
5432,2427,28,1120,adult,1
5433,3558,81,1669,pensioner,1
5434,4032,40,1893,adult,1
5435,6195,48,2958,adult,1
5436,1954,33,899,public_worker,1
5437,1101,40,514,adult,1
5438,2428,26,1120,adult,1
5439,3564,42,1670,public_worker,1
5440,4029,12,1893,under_age,1
5441,6196,42,2958,adult,1
5442,1955,75,900,pensioner,1
5443,1102,42,514,public_worker,1
5444,3560,12,1670,under_age,1
5445,4031,42,1893,adult,1
5446,6193,14,2958,under_age,1
5447,2430,50,1121,public_worker,1
5448,3561,14,1670,under_age,1
5449,1956,62,901,adult,1
5450,1106,27,515,adult,1
5451,6197,53,2959,adult,1
5452,2429,45,1121,adult,1
5453,3563,53,1670,adult,1
5454,4034,6,1894,under_age,1
5455,1104,8,515,under_age,1
5456,4035,31,1894,adult,1
5457,1957,63,901,adult,1
5458,1103,8,515,under_age,1
5459,6198,48,2959,adult,1
5460,3562,16,1670,under_age,1
5461,2431,64,1122,adult,1
5462,4033,0,1894,under_age,1
5463,1960,22,902,adult,1
5464,1105,36,515,adult,1
5465,3567,30,1671,public_worker,1
5466,6200,33,2960,public_worker,1
5467,2432,72,1122,pensioner,1
5468,4038,33,1895,adult,1
5469,3566,36,1671,adult,1
5470,1958,0,902,under_age,1
5471,6199,9,2960,under_age,1
5472,1107,4,516,under_age,1
5473,1959,29,902,public_worker,1
5474,2435,46,1123,adult,1
5475,4036,8,1895,under_age,1
5476,6201,41,2960,teacher,1
5477,1109,31,516,adult,1
5478,3565,1,1671,under_age,1
5479,4037,44,1895,public_worker,1
5480,1961,17,903,under_age,1
5481,2433,11,1123,under_age,1
5482,1108,31,516,adult,1
5483,3568,54,1672,public_worker,1
5484,1962,47,903,adult,1
5485,6202,4,2961,under_age,1
5486,2436,46,1123,public_worker,1
5487,3569,46,1672,public_worker,1
5488,4040,36,1896,public_worker,1
5489,6204,37,2961,adult,1
5490,2434,17,1123,under_age,1
5491,4039,3,1896,under_age,1
5492,1110,23,517,adult,1
5493,3570,1,1673,under_age,1
5494,1963,47,904,adult,1
5495,4041,36,1896,public_worker,1
5496,6203,26,2961,public_worker,1
5497,2438,73,1124,pensioner,1
5498,1113,62,517,adult,1
5499,3571,32,1673,adult,1
5500,1964,42,904,adult,1
5501,6205,73,2962,pensioner,1
5502,2437,58,1124,adult,1
5503,4043,47,1897,adult,1
5504,1112,62,517,adult,1
5505,3572,34,1673,public_worker,1
5506,6206,22,2963,adult,1
5507,4042,14,1897,under_age,1
5508,1966,45,905,adult,1
5509,2440,80,1125,pensioner,1
5510,1111,26,517,medical_professional,1
5511,3573,29,1674,adult,1
5512,4044,43,1897,adult,1
5513,6207,16,2964,under_age,1
5514,2439,69,1125,pensioner,1
5515,1965,45,905,adult,1
5516,3575,56,1674,adult,1
5517,1114,36,518,adult,1
5518,6208,51,2964,public_worker,1
5519,2441,27,1126,adult,1
5520,4045,83,1899,pensioner,1
5521,6209,44,2964,adult,1
5522,3574,57,1674,adult,1
5523,1968,58,906,adult,1
5524,1115,34,518,adult,1
5525,4046,19,1900,adult,1
5526,2443,30,1127,adult,1
5527,1967,63,906,adult,1
5528,6210,22,2965,adult,1
5529,3577,47,1675,public_worker,1
5530,1116,31,519,adult,1
5531,2442,4,1127,under_age,1
5532,3576,50,1675,adult,1
5533,4047,18,1901,under_age,1
5534,6211,48,2965,adult,1
5535,1969,68,907,pensioner,1
5536,1117,31,519,adult,1
5537,1970,70,907,pensioner,1
5538,2446,10,1128,under_age,1
5539,4049,56,1902,adult,1
5540,1570,60,722,adult,1
5541,5249,38,2480,public_worker,1
5542,5248,14,2480,under_age,1
5543,10431,77,4991,pensioner,1
5544,1567,23,722,teacher,1
5545,10430,77,4991,pensioner,1
5546,5251,51,2481,public_worker,1
5547,1569,61,722,public_worker,1
5548,5252,47,2481,public_worker,1
5549,10432,50,4992,public_worker,1
5550,10435,33,4993,public_worker,1
5551,1571,62,723,adult,1
5552,5253,70,2482,pensioner,1
5553,5254,71,2482,pensioner,1
5554,10433,3,4993,under_age,1
5555,10434,35,4993,adult,1
5556,1572,28,724,adult,1
5557,5255,13,2483,under_age,1
5558,5257,49,2483,adult,1
5559,10437,69,4994,pensioner,1
5560,1575,55,725,adult,1
5561,5256,13,2483,under_age,1
5562,10436,70,4994,pensioner,1
5563,1573,23,725,adult,1
5564,10439,63,4995,adult,1
5565,5259,73,2484,pensioner,1
5566,1574,57,725,adult,1
5567,10440,51,4995,adult,1
5568,5258,63,2484,public_worker,1
5569,10438,23,4995,adult,1
5570,1576,61,726,public_worker,1
5571,5260,71,2485,pensioner,1
5572,1577,26,727,public_worker,1
5573,5262,47,2486,adult,1
5574,10441,61,4996,adult,1
5575,1578,60,728,adult,1
5576,5261,19,2486,adult,1
5577,10442,51,4997,adult,1
5578,1579,70,728,pensioner,1
5579,5263,41,2486,adult,1
5580,10443,64,4998,public_worker,1
5581,1580,80,729,pensioner,1
5582,5264,54,2487,adult,1
5583,1582,51,730,adult,1
5584,10444,60,4999,adult,1
5585,5265,38,2487,adult,1
5586,1583,43,730,adult,1
5587,10445,38,5000,adult,1
5588,5266,56,2488,medical_professional,1
5589,1581,17,730,under_age,1
5590,5267,35,2489,adult,1
5591,10447,74,5001,pensioner,1
5592,1584,1,731,under_age,1
5593,10446,74,5001,pensioner,1
5594,1586,32,731,public_worker,1
5595,5269,12,2496,under_age,1
5596,10449,51,5002,public_worker,1
5597,1585,2,731,under_age,1
5598,5270,44,2496,adult,1
5599,10448,17,5002,under_age,1
5600,1587,33,731,adult,1
5601,10450,49,5002,adult,1
5602,5271,47,2496,adult,1
5603,1588,23,732,adult,1
5604,5268,6,2496,under_age,1
5605,10453,43,5003,adult,1
5606,1589,51,733,public_worker,1
5607,1590,50,733,adult,1
5608,5273,37,2497,adult,1
5609,10451,7,5003,under_age,1
5610,10452,38,5003,adult,1
5611,5272,4,2497,under_age,1
5612,1592,36,734,adult,1
5613,5274,29,2497,adult,1
5614,10455,56,5004,adult,1
5615,3176,23,1483,public_worker,1
5616,9396,55,4500,adult,1
5617,3081,12,1433,under_age,1
5618,8829,21,4214,adult,1
5619,6754,34,3227,adult,1
5620,245,25,115,adult,1
5621,3177,57,1484,public_worker,1
5622,3084,26,1434,adult,1
5623,8830,28,4214,adult,1
5624,9397,28,4501,adult,1
5625,243,82,115,pensioner,1
5626,6756,70,3228,pensioner,1
5627,3178,57,1485,adult,1
5628,244,29,115,adult,1
5629,3083,19,1434,adult,1
5630,8832,62,4214,adult,1
5631,6755,65,3228,adult,1
5632,9401,56,4502,adult,1
5633,242,20,115,adult,1
5634,3085,62,1434,adult,1
5635,8831,49,4214,adult,1
5636,3179,13,1486,under_age,1
5637,6757,29,3229,public_worker,1
5638,9398,22,4502,medical_professional,1
5639,3180,20,1486,public_worker,1
5640,240,60,115,public_worker,1
5641,3086,51,1434,adult,1
5642,6758,30,3229,adult,1
5643,8833,33,4215,adult,1
5644,9400,24,4502,adult,1
5645,3181,54,1486,public_worker,1
5646,241,37,115,medical_professional,1
5647,9399,24,4502,adult,1
5648,3088,41,1435,adult,1
5649,6759,23,3230,adult,1
5650,3183,76,1487,pensioner,1
5651,246,44,116,adult,1
5652,8834,26,4216,adult,1
5653,9402,58,4502,adult,1
5654,3182,66,1487,adult,1
5655,3087,6,1435,under_age,1
5656,6760,23,3230,adult,1
5657,247,47,116,adult,1
5658,3089,31,1435,adult,1
5659,8835,68,4217,pensioner,1
5660,9403,62,4503,adult,1
5661,3185,48,1488,adult,1
5662,8836,64,4217,adult,1
5663,6762,50,3231,adult,1
5664,248,31,117,adult,1
5665,3090,23,1436,adult,1
5666,6761,17,3231,under_age,1
5667,9406,32,4504,adult,1
5668,3184,54,1488,public_worker,1
