,building,geometry,amenity,shop,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
88592992,yes,"POLYGON ((8.010065300000001 53.3925473, 8.010000099999999 53.392347, 8.0096182 53.3923912, 8.0096834 53.3925915, 8.010065300000001 53.3925473))",,,,,8.009841749999998,53.39246925,7.937640999989276e-08,0
88593022,yes,"POLYGON ((8.010988299999999 53.3859261, 8.0113646 53.3859148, 8.011344299999999 53.3856746, 8.0112316 53.385678, 8.0112275 53.3856294, 8.010963800000001 53.3856374, 8.010988299999999 53.3859261))",,,,,8.011157776199482,53.385782649546854,1.0345904000014786e-07,0
94943184,yes,"POLYGON ((8.0245096 53.4514364, 8.0243457 53.4514364, 8.0243457 53.4516275, 8.0245096 53.4516275, 8.0245096 53.4514364))",,,,,8.02442765,53.451531949999996,3.1321290000429505e-08,0
94943192,farm,"POLYGON ((8.024707599999999 53.4563337, 8.024704399999999 53.4563663, 8.0247508 53.4563679, 8.024743600000001 53.4564409, 8.025111600000001 53.4564538, 8.0251226 53.4563434, 8.025255400000001 53.4563481, 8.0252669 53.4562318, 8.025142799999999 53.4562274, 8.025146599999999 53.4561893, 8.024723399999999 53.4561745, 8.024719299999999 53.456216, 8.024707599999999 53.4563337))",,,,,8.024958554964991,53.456308015521756,1.2256320499894276e-07,0
94943205,yes,"POLYGON ((8.0242808 53.4517759, 8.0242808 53.4518227, 8.024403700000001 53.4518227, 8.024403700000001 53.4517759, 8.0242808 53.4517759))",,,,,8.02434225,53.45179930000001,5.751720000017662e-09,0
125579046,yes,"POLYGON ((7.9451937 53.341321, 7.9452932 53.3411544, 7.9454218 53.341179, 7.9453223 53.3413457, 7.9451937 53.341321))",,,,TP Putz- und Zementestrich GmbH,7.9453077523159665,53.34125003189156,2.3883864999762087e-08,1
157982284,greenhouse,"POLYGON ((7.9707339 53.3607405, 7.9710644 53.3606422, 7.9710879 53.3606704, 7.9713178 53.3606021, 7.9710689 53.360304, 7.9705141 53.3604809, 7.9707339 53.3607405))",,,,,7.9709163335879305,53.360528289767,1.9392455499971443e-07,1
169336416,house,"POLYGON ((7.9679855 53.3530938, 7.9680591 53.3530316, 7.968177 53.3530813, 7.9681034 53.3531435, 7.9679855 53.3530938))",,,,,7.968081249999999,53.35308755,1.0991300000101105e-08,1
169336418,house,"POLYGON ((7.9676959 53.3532143, 7.9675362 53.3531545, 7.9674236 53.3532614, 7.9675484 53.3533082, 7.9675819 53.3532764, 7.9676168 53.3532895, 7.9676959 53.3532143))",,,,,7.9675581735444005,53.35323364424184,2.2271484999938405e-08,1
177807390,house,"POLYGON ((8.0326723 53.4112539, 8.032549299999999 53.4111788, 8.0326647 53.4111116, 8.0327877 53.4111868, 8.0326723 53.4112539))",,,,,8.032668499108263,53.41118276663675,1.6931760000072357e-08,0
180694835,commercial,"POLYGON ((8.001759 53.3590906, 8.001882999999999 53.3590684, 8.0017289 53.3587615, 8.0017581 53.3587563, 8.001583 53.3584075, 8.0014377 53.3584334, 8.001592799999999 53.3587423, 8.0015482 53.3587503, 8.0015149 53.3586839, 8.0014714 53.3586916, 8.0014857 53.3587201, 8.001386200000001 53.3587379, 8.001409300000001 53.358784, 8.001347900000001 53.358795, 8.001396400000001 53.3588916, 8.001544600000001 53.3588651, 8.001555 53.3588859, 8.001470899999999 53.3589009, 8.0015178 53.3589942, 8.0015544 53.3589877, 8.001591599999999 53.3590618, 8.001732000000001 53.3590367, 8.001759 53.3590906))",,,,,8.00161363833451,53.35879284941993,1.6270140500016002e-07,1
180694836,farm,"POLYGON ((7.9828861 53.3566198, 7.983125 53.3563297, 7.9838163 53.3565276, 7.9835802 53.3568178, 7.9828861 53.3566198))",,,,,7.983351720382096,53.35657377426443,2.480000299986041e-07,1
180694837,garage,"POLYGON ((8.0023974 53.3589585, 8.0027025 53.3589125, 8.002654100000001 53.3587982, 8.0023491 53.3588442, 8.0023974 53.3589585))",,,,,8.002525779394267,53.35887835245981,3.709131499988352e-08,1
180694838,detached,"POLYGON ((8.001318700000001 53.3584039, 8.0014793 53.3583759, 8.001440000000001 53.3582957, 8.0012794 53.3583237, 8.001318700000001 53.3584039))",,,,,8.00137935,53.35834979999999,1.3980519999910574e-08,1
180694839,garage,"POLYGON ((7.9826407 53.3563247, 7.9827324 53.3563284, 7.9827376 53.3562835, 7.9827456 53.3562144, 7.9826538 53.3562106, 7.9826407 53.3563247))",,,,,7.982693120185235,53.356269513273276,1.0513460000433647e-08,1
180694840,house,"POLYGON ((7.9827376 53.3562835, 7.9829065 53.356292, 7.9829247 53.3561628, 7.9827575 53.3561544, 7.9827456 53.3562144, 7.9827376 53.3562835))",,,,,7.982830902951913,53.35622323864759,2.203577500049987e-08,1
180694841,farm,"POLYGON ((7.9827733 53.3568863, 7.9828609 53.3567748, 7.9831076 53.3568438, 7.9830941 53.3568611, 7.9833774 53.3569404, 7.9833033 53.3570346, 7.9827733 53.3568863))",,,,,7.983067640785673,53.356905835806074,6.612735999967256e-08,1
