,building,geometry,amenity,shop,leisure,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
120494928,yes,"POLYGON ((9.7149929 51.165669, 9.714906600000001 51.1657136, 9.7148045 51.165636, 9.7149433 51.1655642, 9.715026099999999 51.1656272, 9.7149731 51.1656531, 9.7149929 51.165669))",,,,,,9.714918303068796,51.16563819985219,1.677758999983766e-08,2
120494929,yes,"POLYGON ((9.7142588 51.166089, 9.714404999999999 51.1659271, 9.7144706 51.1659504, 9.7143599 51.1660731, 9.7143975 51.1660864, 9.714362100000001 51.1661257, 9.7142588 51.166089))",,,,,,9.714364253919458,51.16602944016798,1.5986640000460313e-08,2
146943588,yes,"POLYGON ((9.663608200000001 51.1997268, 9.663449200000001 51.1995338, 9.6636284 51.1994758, 9.6637875 51.1996688, 9.663608200000001 51.1997268))",,,,,,9.663618332814737,51.19960130644396,4.382014999966798e-08,6
157580875,yes,"POLYGON ((9.695137900000001 51.2291464, 9.694517299999999 51.2291018, 9.6945532 51.2289063, 9.695173799999999 51.228951, 9.695137900000001 51.2291464))",,,,,,9.694845523972196,51.22902637264533,1.2289920499982326e-07,0
157706234,yes,"POLYGON ((9.694704400000001 51.2259813, 9.6946894 51.2258621, 9.6949734 51.2258481, 9.6949883 51.2259674, 9.694704400000001 51.2259813))",,,,,,9.694838893261691,51.225914720164354,3.406959000026309e-08,0
158095905,yes,"POLYGON ((9.6906547 51.2238514, 9.6906011 51.2239858, 9.6902255 51.2239388, 9.6902577 51.2238044, 9.6906547 51.2238514))",,,,,,9.690435540963836,51.223894575783845,5.3935020000152485e-08,0
158096420,yes,"POLYGON ((9.689184900000001 51.2242814, 9.6892288 51.2240673, 9.6896378 51.2241003, 9.6895939 51.2243143, 9.689184900000001 51.2242814))",,,,,,9.68941133451621,51.224190822858134,8.899295500005022e-08,0
158096421,yes,"POLYGON ((9.6877882 51.224001, 9.6877733 51.2241288, 9.6874319 51.2241131, 9.687446899999999 51.2239853, 9.6877882 51.224001))",,,,,,9.687610073618727,51.22405705305644,4.3859244999306556e-08,1
158096422,yes,"POLYGON ((9.689902 51.224547, 9.6903714 51.2247201, 9.6903018 51.2247953, 9.6898289 51.2246318, 9.689866500000001 51.2245921, 9.689902 51.224547))",,,,,,9.69009770316428,51.22467228933089,4.955699999830177e-08,0
158096425,yes,"POLYGON ((9.6895153 51.2249075, 9.689493799999999 51.2248439, 9.689446500000001 51.224704, 9.689214099999999 51.2247348, 9.6892829 51.2249383, 9.6895153 51.2249075))",,,,,,9.689364700524308,51.22482114998832,4.9412654999291735e-08,0
158096480,yes,"POLYGON ((9.6889345 51.2245287, 9.688708699999999 51.2245636, 9.6886519 51.2244197, 9.688877700000001 51.2243847, 9.6889345 51.2245287))",,,,,,9.688793211539743,51.2244741711176,3.448907000049349e-08,0
158096738,yes,"POLYGON ((9.6963233 51.2279543, 9.6963212 51.22783, 9.696643099999999 51.227828, 9.6966451 51.2279522, 9.6963233 51.2279543))",,,,,,9.696483153226408,51.22789112197469,3.9994064999623234e-08,0
158188799,yes,"POLYGON ((9.6996492 51.2273824, 9.699627700000001 51.2272435, 9.7005108 51.2271898, 9.700532300000001 51.2273287, 9.6996492 51.2273824))",,,,,,9.700079999999998,51.227286099999986,1.2381714000286946e-07,0
158188800,yes,"POLYGON ((9.6994811 51.2268207, 9.6994753 51.2266663, 9.700590800000001 51.2266498, 9.700596600000001 51.2268042, 9.6994811 51.2268207))",,,,,,9.70003595,51.22673524999999,1.723288999996581e-07,0
158188801,yes,"POLYGON ((9.699631699999999 51.2271367, 9.699624699999999 51.2270358, 9.700313899999999 51.2270168, 9.700321000000001 51.2271177, 9.699631699999999 51.2271367))",,,,,,9.699972826651265,51.2270767511744,6.967927499983236e-08,0
158188802,yes,"POLYGON ((9.7002661 51.2276098, 9.7007803 51.2275089, 9.700716399999999 51.2273814, 9.700202300000001 51.2274823, 9.7002661 51.2276098))",,,,,,9.700491281946926,51.227495600703215,7.199659000079813e-08,0
158656394,yes,"POLYGON ((9.7094842 51.2232569, 9.709419799999999 51.2229546, 9.709130200000001 51.2229814, 9.709205300000001 51.2232905, 9.7094842 51.2232569))",,,,,,9.709309091916895,51.22312011329502,8.900167499912772e-08,0
158656580,yes,"POLYGON ((9.706742 51.2253549, 9.7063384 51.2254334, 9.706270399999999 51.225296, 9.706674 51.2252176, 9.706742 51.2253549))",,,,,,9.706506178296388,51.225325480622686,6.076905999980028e-08,0
158656581,yes,"POLYGON ((9.7046147 51.2254455, 9.7045298 51.225154, 9.704261499999999 51.2251847, 9.7043464 51.2254762, 9.7046147 51.2254455))",,,,,,9.7044381,51.2253151,8.081587999990695e-08,0
158656762,yes,"POLYGON ((9.7069267 51.2250269, 9.7066664 51.2250367, 9.706658300000001 51.2249531, 9.706590800000001 51.2249556, 9.7065836 51.2248802, 9.706630199999999 51.2248546, 9.7066198 51.2247462, 9.706898600000001 51.2247357, 9.7069267 51.2250269))",,,,,,9.70676725012966,51.22488577736732,8.422566500082607e-08,0
158656764,yes,"POLYGON ((9.7042591 51.2255276, 9.704103999999999 51.2250043, 9.703457500000001 51.2250794, 9.703467399999999 51.2251127, 9.703494900000001 51.2252054, 9.703869600000001 51.2251619, 9.7039873 51.2255592, 9.7042591 51.2255276))",,,,,,9.703950425336725,51.22524159265888,1.9596640999999156e-07,0
158656767,yes,"POLYGON ((9.7074132 51.2242189, 9.7071342 51.22424, 9.707050300000001 51.2238054, 9.7073293 51.2237842, 9.7074132 51.2242189))",,,,,,9.70723175479524,51.22401212213052,1.2304183499976035e-07,0
158656768,yes,"POLYGON ((9.7072065 51.2236298, 9.7069843 51.223651, 9.7069431 51.2234811, 9.7071652 51.2234599, 9.7072065 51.2236298))",,,,,,9.707074777528618,51.22355545613201,3.8617784999042664e-08,0
158656770,yes,"POLYGON ((9.706099099999999 51.2219056, 9.7060712 51.2217674, 9.706227500000001 51.221755, 9.706255499999999 51.2218932, 9.706099099999999 51.2219056))",,,,,,9.706163327202102,51.221830307191304,2.195414999975505e-08,0
158656949,yes,"POLYGON ((9.705571600000001 51.2215153, 9.705304 51.2215961, 9.705143400000001 51.2213876, 9.705411099999999 51.2213068, 9.705571600000001 51.2215153))",,,,,,9.705357518323783,51.221451445523776,6.877746499966119e-08,0
158688248,yes,"POLYGON ((9.6989111 51.222811, 9.6986901 51.2224949, 9.697579299999999 51.2227996, 9.697670499999999 51.22293, 9.6975281 51.222969, 9.697657899999999 51.2231548, 9.6989111 51.222811))",,,,,,9.698204505006013,51.22282191514143,4.4999861000101757e-07,0
