,building,geometry,amenity,shop,leisure,sport,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
122529006,yes,"POLYGON ((9.1996564 50.1896408, 9.199597600000001 50.1896048, 9.1995927 50.1896081, 9.199580600000001 50.1896007, 9.199585000000001 50.1895977, 9.199533600000001 50.1895663, 9.199494899999999 50.1895925, 9.199536500000001 50.1896179, 9.1994185 50.1896976, 9.1994393 50.1897103, 9.1994992 50.1897469, 9.1996564 50.1896408))",,,,,,,9.199536962295928,50.189660742473954,1.8313755000128804e-08,4
122529007,church,"POLYGON ((9.199358 50.1894928, 9.1993496 50.1894215, 9.199286499999999 50.1894246, 9.199281900000001 50.1893852, 9.1992174 50.1893883, 9.1992197 50.189408, 9.198992000000001 50.1894191, 9.1990047 50.1895272, 9.199237699999999 50.1895159, 9.199235699999999 50.1894987, 9.199358 50.1894928))",place_of_worship,,,,,Martinskirche,9.199166766211626,50.189461595023104,3.655376000012268e-08,4
122546739,yes,"POLYGON ((9.200631 50.190026, 9.200525300000001 50.1900672, 9.2005819 50.1901259, 9.2006879 50.1900825, 9.200698900000001 50.1900793, 9.200667899999999 50.1900465, 9.200655100000001 50.1900515, 9.200631 50.190026))",,,,,,,9.200610133115442,50.19007504297211,8.963234999667292e-09,4
122546740,yes,"POLYGON ((9.199787300000001 50.1897216, 9.1999236 50.1896391, 9.1998514 50.1895899, 9.199848299999999 50.1895879, 9.199712 50.1896704, 9.199787300000001 50.1897216))",,,,,,,9.199817817425814,50.18965473488703,1.3194869999999939e-08,4
122546741,yes,"POLYGON ((9.1998167 50.1894081, 9.199824599999999 50.1894129, 9.1997812 50.1894422, 9.1998538 50.1894865, 9.199949999999999 50.1894216, 9.1998695 50.1893725, 9.1998167 50.1894081))",,,,,,,9.199864550285321,50.189429696702774,9.508335000229664e-09,4
122546742,yes,"POLYGON ((9.199702200000001 50.1893738, 9.1997549 50.1893706, 9.199888100000001 50.1893629, 9.1998772 50.1893127, 9.1998149 50.189286, 9.199685000000001 50.1892955, 9.199702200000001 50.1893738))",,,,,,,9.199782834440597,50.189330613666144,1.4122069999177342e-08,4
122546743,yes,"POLYGON ((9.200355500000001 50.1900927, 9.200553299999999 50.1900084, 9.2005202 50.1899764, 9.200537600000001 50.189969, 9.200514800000001 50.1899469, 9.200496599999999 50.1899546, 9.200460400000001 50.1899196, 9.2003851 50.1899516, 9.200374099999999 50.1899409, 9.200331500000001 50.189959, 9.2003415 50.1899687, 9.200262199999999 50.1900025, 9.200355500000001 50.1900927))",,,,,,,9.200408753329526,50.19000381656595,2.670160000000034e-08,4
122546744,yes,"POLYGON ((9.200127999999999 50.1898596, 9.200086000000001 50.1898198, 9.200062300000001 50.1897988, 9.199949200000001 50.18985, 9.200014899999999 50.1899078, 9.200127999999999 50.1898596))",,,,,,,9.200038975645196,50.189853726449016,1.0002749999955845e-08,4
122546745,yes,"POLYGON ((9.199869400000001 50.1897759, 9.2000344 50.1896747, 9.1999891 50.1896443, 9.199960000000001 50.1896622, 9.1999236 50.1896391, 9.199787300000001 50.1897216, 9.199869400000001 50.1897759))",,,,,,,9.199907208848373,50.18970313474405,1.5846584999952e-08,4
122546746,yes,"POLYGON ((9.2000192 50.1895878, 9.200070200000001 50.1896232, 9.2001615 50.1895689, 9.200110499999999 50.1895336, 9.200067199999999 50.1895593, 9.2000192 50.1895878))",,,,,,,9.200090341100017,50.18957838371093,5.994430000133972e-09,4
122546748,yes,"POLYGON ((9.199669099999999 50.1895805, 9.1996915 50.1896089, 9.1997558 50.1895655, 9.199779899999999 50.1895782, 9.199818799999999 50.1895525, 9.1997924 50.1895398, 9.1998388 50.1895086, 9.199862 50.1894928, 9.1998538 50.1894865, 9.1998327 50.1894756, 9.199669099999999 50.1895805))",,,,,,,9.199765440953378,50.18954360417748,7.818435000202307e-09,4
122546749,yes,"POLYGON ((9.1996325 50.1895063, 9.199664 50.1894897, 9.1996766 50.1894995, 9.199730499999999 50.1894711, 9.199717100000001 50.1894606, 9.1997745 50.1894304, 9.199771500000001 50.1894281, 9.199702200000001 50.1893738, 9.199559300000001 50.1894491, 9.1996325 50.1895063))",,,,,,,9.199668804969024,50.189442501097986,1.4503789999926045e-08,4
122546751,yes,"POLYGON ((9.2006341 50.1902122, 9.2006146 50.1901939, 9.2006286 50.1901882, 9.2005962 50.1901555, 9.2006069 50.1901511, 9.2005819 50.1901259, 9.2006879 50.1900825, 9.200774900000001 50.1901703, 9.2007505 50.1901803, 9.2007055 50.1901989, 9.2006341 50.1902122))",,,,,,,9.200674269405699,50.19015072164567,1.4118494999845453e-08,4
122546752,yes,"POLYGON ((9.200067199999999 50.1895593, 9.2000625 50.1895568, 9.1999598 50.1896181, 9.1998952 50.1895739, 9.1999917 50.1895148, 9.1999557 50.1894948, 9.199886100000001 50.1895329, 9.1998388 50.1895086, 9.199862 50.1894928, 9.1998754 50.1895004, 9.1999528 50.1894422, 9.2000577 50.1895103, 9.200110799999999 50.1894765, 9.200118399999999 50.1894815, 9.2001572 50.1895045, 9.200110499999999 50.1895336, 9.200067199999999 50.1895593))",,,,,,,9.199993451564156,50.18952724715797,2.1718664999490705e-08,4
122546753,yes,"POLYGON ((9.20045 50.1896893, 9.2004812 50.1897198, 9.200359600000001 50.1897707, 9.200328300000001 50.1897402, 9.20045 50.1896893))",,,,,,,9.200404763767567,50.18973000261049,5.300949999752362e-09,4
122546754,yes,"POLYGON ((9.200156 50.1894575, 9.200118399999999 50.1894815, 9.200110799999999 50.1894765, 9.2000577 50.1895103, 9.1999528 50.1894422, 9.1999908 50.1894181, 9.1999818 50.1894123, 9.200025800000001 50.1893843, 9.2000127 50.1893758, 9.2000872 50.1893285, 9.2001416 50.1893637, 9.2000759 50.1894056, 9.200156 50.1894575))",,,,,,,9.200058721133194,50.18942499904802,1.793765499989648e-08,4
122546757,yes,"POLYGON ((9.200568499999999 50.1897794, 9.200497500000001 50.189712, 9.2004812 50.1897198, 9.200359600000001 50.1897707, 9.200431 50.1898388, 9.200568499999999 50.1897794))",,,,,,,9.200464137388389,50.189775459375475,1.347412999972661e-08,4
