,building,geometry,amenity,shop,leisure,sport,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
117512489,yes,"POLYGON ((13.8211301 52.4266148, 13.8214522 52.4266714, 13.8215203 52.4265274, 13.8211983 52.4264707, 13.8211301 52.4266148))",,,,,,,13.821325203917436,52.42657107325547,5.0251999999352535e-08,2
117512491,yes,"POLYGON ((13.8201402 52.4268027, 13.820458 52.426857, 13.8205243 52.4267126, 13.8202065 52.4266583, 13.8201402 52.4268027))",,,,,,,13.82033225,52.42675765,4.949040999990831e-08,2
123423966,yes,"POLYGON ((13.8370273 52.4352542, 13.8371883 52.4352667, 13.8371939 52.4352332, 13.8372107 52.4351654, 13.8370486 52.4351521, 13.8370407 52.4351903, 13.837011 52.435188, 13.8370055 52.4352142, 13.8370352 52.4352165, 13.8370273 52.4352542))",,,,,,,13.837113905734984,52.43520913431945,1.7407379999740994e-08,3
123424791,yes,"POLYGON ((13.8223748 52.4268863, 13.8230367 52.4268562, 13.8229928 52.4264963, 13.8223309 52.4265263, 13.8223748 52.4268863))",,,,,,,13.822683784827532,52.426691276241534,2.3957010000195327e-07,2
123424792,yes,"POLYGON ((13.8313383 52.4248838, 13.8315761 52.4250671, 13.8316979 52.4250083, 13.8314601 52.424825, 13.8313383 52.4248838))",,,,,3,,13.831518099999998,52.42494605,3.630858000024245e-08,3
199571744,yes,"POLYGON ((13.8136335 52.4176553, 13.8138157 52.4176532, 13.8138134 52.4175764, 13.8136312 52.4175784, 13.8136335 52.4176553))",,,,,,,13.813723430252692,52.41761582532739,1.4006784999876785e-08,2
199571746,residential,"POLYGON ((13.803852 52.4182637, 13.8036261 52.4182386, 13.8035769 52.4184028, 13.8038028 52.418428, 13.803852 52.4182637))",,,,,,,13.80371446056519,52.418333277991216,3.834145499989642e-08,0
199571747,residential,"POLYGON ((13.8039457 52.417988, 13.8037198 52.4179628, 13.8036706 52.4181271, 13.8038965 52.4181523, 13.8039457 52.417988))",,,,,,,13.80380815,52.41805754999999,3.835521000053028e-08,0
199571748,residential,"POLYGON ((13.8040223 52.4177147, 13.8037964 52.4176895, 13.8037472 52.4178538, 13.8039731 52.417879, 13.8040223 52.4177147))",,,,,,,13.80388475,52.417784250000004,3.835521000018069e-08,0
199571749,yes,"POLYGON ((13.803241 52.422851, 13.8030058 52.4227985, 13.8029707 52.4228144, 13.8029512 52.4228141, 13.802865 52.4229482, 13.803137 52.4230128, 13.803241 52.422851))",,,,,,,13.8030540446528,52.4229019494647,4.949300000052635e-08,0
199571750,yes,"POLYGON ((13.8025854 52.4191928, 13.8026546 52.4190614, 13.8022836 52.4189886, 13.8022144 52.4191201, 13.8025854 52.4191928))",,,,,,,13.80243447942274,52.41909071941062,5.38022500002944e-08,0
199571751,yes,"POLYGON ((13.8020007 52.422268, 13.8018955 52.4221643, 13.801697 52.4222411, 13.8017983 52.4223424, 13.8020007 52.422268))",,,,,,,13.801848378265667,52.42225382336301,2.835182499999533e-08,0
199571752,residential,"POLYGON ((13.8037519 52.4185233, 13.803526 52.4184981, 13.8034768 52.4186624, 13.8037027 52.4186876, 13.8037519 52.4185233))",,,,,,,13.80361435,52.41859285,3.835521000018069e-08,0
208110497,yes,"POLYGON ((13.8025926 52.4152187, 13.8025456 52.4153022, 13.8023976 52.4152711, 13.8024447 52.4151877, 13.8025926 52.4152187))",,,,,,,13.802495131732735,52.41524493376344,1.3807330000257364e-08,0
208110498,yes,"POLYGON ((13.8027877 52.4153443, 13.8026214 52.4153122, 13.8026745 52.4152098, 13.8028409 52.415242, 13.8027877 52.4153443))",,,,,,,13.802731118746296,52.415277066001565,1.873469500033027e-08,0
208110500,yes,"POLYGON ((13.8031825 52.4154044, 13.8032208 52.4153246, 13.8030652 52.4152968, 13.8030269 52.4153766, 13.8031825 52.4154044))",,,,,,,13.80312385,52.4153506,1.3481620000142718e-08,0
208110501,yes,"POLYGON ((13.8047521 52.4157129, 13.8046127 52.4156853, 13.8046247 52.4156627, 13.8045758 52.415653, 13.8046101 52.4155888, 13.8047983 52.4156261, 13.8047521 52.4157129))",,,,,,,13.804687348147242,52.415649527556354,1.6847345000177906e-08,0
208110503,yes,"POLYGON ((13.8051291 52.4157964, 13.8050058 52.4157713, 13.8050484 52.4156935, 13.8051717 52.4157186, 13.8051291 52.4157964))",,,,,,,13.80508875,52.41574495,1.0661999999775721e-08,0
208110504,yes,"POLYGON ((13.8034181 52.4154533, 13.8032374 52.415419, 13.8032807 52.4153342, 13.8034614 52.4153686, 13.8034181 52.4154533))",,,,,,,13.80334938473486,52.415393770101325,1.6801680000604177e-08,0
208110506,yes,"POLYGON ((13.8039367 52.4155601, 13.8037896 52.4155328, 13.8038324 52.415447, 13.8039795 52.4154743, 13.8039367 52.4155601))",,,,,,,13.80388455,52.41550355,1.3789620000124995e-08,0
208110507,yes,"POLYGON ((13.8041891 52.4155536, 13.8040229 52.415522, 13.8040806 52.4154092, 13.8042468 52.4154408, 13.8041891 52.4155536))",,,,,,,13.80413485,52.415481400000004,2.0570680000581882e-08,0
208110510,yes,"POLYGON ((13.8043988 52.4156484, 13.8042341 52.4156154, 13.8042784 52.4155329, 13.8044432 52.4155658, 13.8043988 52.4156484))",,,,,,,13.804338643958586,52.4155906268595,1.5061444999751122e-08,0
214867397,yes,"POLYGON ((13.8027142 52.4190185, 13.8029803 52.4190908, 13.803032 52.41902, 13.8027659 52.4189477, 13.8027142 52.4190185))",,,,,,Bootshaus am Werlsee,13.802873099999996,52.41901925,2.257779000000581e-08,0
214867398,yes,"POLYGON ((13.8032372 52.4190224, 13.8033938 52.4190633, 13.8034563 52.4189741, 13.8032997 52.4189332, 13.8032372 52.4190224))",,,,,,,13.80334675,52.418998249999994,1.652497000017185e-08,0
214867400,yes,"POLYGON ((13.8025746 52.4192612, 13.8026739 52.4192094, 13.8029389 52.4193982, 13.8028396 52.41945, 13.8025746 52.4192612))",,,,,,,13.80275675,52.41932970000001,3.2474839999340935e-08,0
214867401,yes,"POLYGON ((13.8031693 52.4193922, 13.8032847 52.419335, 13.8033186 52.4193604, 13.8034192 52.4193105, 13.8031044 52.4190744, 13.8028884 52.4191815, 13.8031693 52.4193922))",,,,,,,13.803148302282402,52.419238059730375,7.984844499931773e-08,0
214867403,yes,"POLYGON ((13.8032718 52.4191376, 13.8035485 52.4192171, 13.8036145 52.4191316, 13.8034615 52.4190877, 13.8034411 52.419114, 13.8033174 52.4190785, 13.8032718 52.4191376))",,,,,,,13.803451730004761,52.41914285574421,2.4912849999791694e-08,0
216879339,yes,"POLYGON ((13.8042648 52.3895892, 13.8072349 52.3901634, 13.8070355 52.3905495, 13.8072659 52.390594, 13.8074653 52.390208, 13.80825 52.3903597, 13.8085114 52.3898664, 13.808073 52.3897778, 13.8081187 52.3896869, 13.8086145 52.3897755, 13.8088538 52.3893115, 13.8048089 52.3885303, 13.8042648 52.3895892))",,,,,,Lidl Vertriebs-GmbH & Co. KG,13.80654216099428,52.38946184999998,4.725191345007016e-06,1
