,building,geometry,amenity,shop,leisure,sport,healthcare,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
49794810,yes,"POLYGON ((9.3496658 50.2239756, 9.349718299999999 50.2238913, 9.350237999999999 50.2240236, 9.350163800000001 50.224143, 9.350008600000001 50.2241035, 9.349997 50.2241221, 9.3499669 50.2241144, 9.3499357 50.2241065, 9.349947200000001 50.224088, 9.3498699 50.2240683, 9.3498918 50.2240331, 9.3496658 50.2239756))",,,,,,,Tourist-Information,9.349966486399266,50.22401828532095,6.402560499966323e-08,1
49794812,yes,"POLYGON ((9.3477932 50.2238413, 9.347833100000001 50.2239879, 9.3478577 50.2240781, 9.3478645 50.2241033, 9.3476883 50.2241229, 9.347697200000001 50.2241557, 9.347667899999999 50.224159, 9.3475758 50.2241692, 9.347567 50.2241371, 9.347541100000001 50.22414, 9.3474985 50.2239839, 9.347406899999999 50.2239941, 9.3473779 50.2238876, 9.3477932 50.2238413))",bank,,,,,,Kreissparkasse,9.347642941629825,50.223991237126526,1.0153751500128141e-07,1
49794813,yes,"POLYGON ((9.3481747 50.2237214, 9.3483424 50.2237622, 9.3482591 50.2239023, 9.3482909 50.22391, 9.348254799999999 50.2239708, 9.348219500000001 50.2239622, 9.3481328 50.2241081, 9.3479685 50.2240681, 9.3481747 50.2237214))",,,,,,,,9.348158556302598,50.22391484319601,6.820176999984534e-08,1
49794815,yes,"POLYGON ((9.354915099999999 50.2226834, 9.355105399999999 50.2226676, 9.3551188 50.2227335, 9.3550665 50.2227378, 9.3550705 50.2227574, 9.354932399999999 50.2227688, 9.354915099999999 50.2226834))",,,,,,,,9.355013848186914,50.22271639184612,1.5494714999397802e-08,1
49794816,yes,"POLYGON ((9.3548594 50.2224339, 9.3550097 50.2224206, 9.355028300000001 50.2225067, 9.355062800000001 50.2225037, 9.355073300000001 50.2225524, 9.354868 50.2225706, 9.354857900000001 50.222524, 9.3548784 50.2225222, 9.3548594 50.2224339))",,,,,,,,9.354953388683295,50.22249940238473,2.334958999980937e-08,1
49794817,yes,"POLYGON ((9.3548153 50.2222864, 9.354965999999999 50.2222748, 9.3549837 50.2223691, 9.3548028 50.2223831, 9.354794099999999 50.2223367, 9.354824300000001 50.2223344, 9.3548153 50.2222864))",,,,,,,,9.354891783000998,50.22233054505742,1.5842675000066847e-08,1
49794819,yes,"POLYGON ((9.3547799 50.2221099, 9.354912499999999 50.2220992, 9.3549285 50.2221796, 9.354893000000001 50.2221825, 9.3548957 50.2221961, 9.354848 50.2221999, 9.3548454 50.2221869, 9.354778700000001 50.2221923, 9.354771400000001 50.2221557, 9.3547887 50.2221543, 9.3547799 50.2221099))",,,,,,,,9.354851267093958,50.222148888213084,1.2167374999738126e-08,1
49794820,yes,"POLYGON ((9.353720600000001 50.2230214, 9.353797200000001 50.2229223, 9.35388 50.2229485, 9.353892699999999 50.222932, 9.353948900000001 50.2229498, 9.353934600000001 50.2229682, 9.354058 50.2230072, 9.354049099999999 50.2230188, 9.354091 50.223032, 9.3540229 50.2231201, 9.3539829 50.2231074, 9.3539788 50.2231128, 9.353850400000001 50.2230721, 9.353842999999999 50.2230769, 9.353829599999999 50.2230793, 9.3538154 50.2230774, 9.353801300000001 50.223069, 9.3538023 50.2230584, 9.353809 50.2230494, 9.353720600000001 50.2230214))",place_of_worship,,,,,,Martin-Luther-Kirche,9.353905862735587,50.223021795272714,4.006643000091195e-08,1
49944693,yes,"POLYGON ((9.3438325 50.2324213, 9.343991000000001 50.232329, 9.344069899999999 50.2322129, 9.343953300000001 50.232131, 9.3439055 50.2321588, 9.343881400000001 50.2321419, 9.3438278 50.2321732, 9.3438044 50.2321567, 9.343668299999999 50.232236, 9.3436872 50.2322493, 9.343632700000001 50.232281, 9.3438325 50.2324213))",,clothes,,,,,nkd,9.343859692859127,50.232267009908945,7.150763999977086e-08,2
49944694,yes,"POLYGON ((9.343354700000001 50.2327545, 9.343454400000001 50.2326964, 9.343434800000001 50.2326826, 9.3438555 50.2324375, 9.3438325 50.2324213, 9.343632700000001 50.232281, 9.343603 50.2322601, 9.3434305 50.2323606, 9.3434613 50.2323823, 9.343153900000001 50.2325613, 9.343261 50.2326365, 9.343220499999999 50.2326602, 9.343354700000001 50.2327545))",,supermarket,,,,,Penny,9.34349601386429,50.2325024652533,1.520392450005018e-07,2
