,building,geometry,amenity,healthcare,healthcare:speciality,building:levels,school_type,type,members,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
47219111,yes,"POLYGON ((5.967062 50.9825459, 5.9671592 50.9825371, 5.9671468 50.9824952, 5.9670517 50.9825043, 5.967062 50.9825459))",,,,,,,,5.96710503710842,50.982520687601465,4.1158449997542766e-09,1
47219112,yes,"POLYGON ((5.9662672 50.9835044, 5.9663679 50.9834597, 5.9663125 50.983413, 5.9662144 50.9834581, 5.9662672 50.9835044))",,,,,,,,5.96629074731128,50.98345877150292,7.051190000102955e-09,1
47219115,yes,"POLYGON ((5.9678918 50.9843937, 5.9680065 50.9844273, 5.968043 50.9843739, 5.967925 50.9843423, 5.9678918 50.9843937))",,,,,,,,5.967967072600012,50.98438436549285,7.232849999744963e-09,1
47219119,yes,"POLYGON ((5.9761774 50.9846966, 5.9761401 50.984626, 5.9763073 50.9845907, 5.9763277 50.9846291, 5.9764199 50.9846095, 5.9764782 50.9847197, 5.9763631 50.984744, 5.9763331 50.9846873, 5.9762894 50.9846965, 5.9762911 50.9847, 5.9762686 50.9847046, 5.9762556 50.9846802, 5.9761774 50.9846966))",,,,,,,,5.9763179089766885,50.98466258501293,2.80530400001386e-08,1
47219152,yes,"POLYGON ((5.9775053 50.9845089, 5.9775296 50.9843877, 5.9776234 50.984395, 5.9776364 50.9843896, 5.977648 50.9843905, 5.9776582 50.9843982, 5.9776718 50.9843992, 5.9776472 50.9845203, 5.9775053 50.9845089))",,,,,,,,5.977588944051185,50.984453419784145,1.7660100000107116e-08,1
47219154,yes,"POLYGON ((5.9777642 50.9845142, 5.9777821 50.9844163, 5.9779348 50.9844275, 5.9779167 50.9845253, 5.9778362 50.9845196, 5.9777642 50.9845142))",,,,,,,,5.977849432818766,50.98447085190499,1.5144759999823212e-08,1
47219158,yes,"POLYGON ((5.978695 50.9840352, 5.9785998 50.983966, 5.978747 50.9838852, 5.9788053 50.9839275, 5.9788096 50.9839252, 5.9788467 50.9839521, 5.978695 50.9840352))",,,,,,,,5.97872224749642,50.98395997767781,1.809807999993382e-08,1
47219160,yes,"POLYGON ((5.9810981 50.9833643, 5.9811538 50.9833756, 5.9811779 50.9833268, 5.9811221 50.9833159, 5.9810981 50.9833643))",,,,,,,,5.981138008335225,50.983345663752246,2.976405000016795e-09,1
47219169,yes,"POLYGON ((5.9775827 50.9858766, 5.9776308 50.9858793, 5.9776403 50.9858122, 5.9775922 50.9858095, 5.9775827 50.9858766))",,,,,,,,5.9776115,50.9858444,3.2531599999395136e-09,1
47219170,yes,"POLYGON ((5.9782965 50.9853622, 5.9783526 50.9853262, 5.9783334 50.9853123, 5.9782987 50.9852928, 5.9782427 50.9853288, 5.9782965 50.9853622))",,,,,,,,5.978298060638026,50.98532726129535,3.864634999846134e-09,1
47219171,yes,"POLYGON ((5.9786405 50.9853915, 5.9785545 50.9853443, 5.978782 50.9851791, 5.978868 50.9852263, 5.9786405 50.9853915))",,,,,,,,5.97871125,50.9852853,2.4945199999212855e-08,1
47219173,yes,"POLYGON ((5.9795383 50.985423, 5.9796092 50.9853251, 5.9799968 50.9854369, 5.979926 50.9855347, 5.9795383 50.985423))",,,,,,,,5.979767539465748,50.98542991533677,4.584904000026869e-08,1
47237484,yes,"POLYGON ((6.0151099 50.9620538, 6.0151079 50.9620521, 6.0150547 50.9620015, 6.0152215 50.9619316, 6.0152761 50.9619839, 6.0152665 50.9619882, 6.0151099 50.9620538))",,,,,,,,6.01516555044325,50.96199275463604,1.257265000006463e-08,1
47237485,yes,"POLYGON ((6.0184945 50.9661125, 6.0184525 50.9660504, 6.0185572 50.9660218, 6.0185818 50.9660151, 6.0185854 50.9660202, 6.0186224 50.9660748, 6.0186244 50.966078, 6.0185501 50.9660978, 6.0184945 50.9661125))",,,,,,,,6.0185385119152714,50.966063959348006,9.590830000060407e-09,1
47237486,yes,"POLYGON ((6.0185856 50.966245, 6.0185458 50.9661874, 6.0186985 50.9661444, 6.0187399 50.9662011, 6.0185856 50.966245))",,,,,,,,6.01864240777639,50.96619455643073,1.0536595000121356e-08,1
47237487,yes,"POLYGON ((6.0190489 50.9663659, 6.0190089 50.9663133, 6.0191217 50.9662796, 6.0191615 50.9663322, 6.0190489 50.9663659))",,,,,,,,6.019085236486517,50.96632274626209,7.272649999728156e-09,1
47237488,yes,"POLYGON ((6.0187118 50.966434, 6.0186463 50.9663382, 6.018816 50.9662912, 6.0188623 50.9663592, 6.0188206 50.966371, 6.0188392 50.9663983, 6.0187118 50.966434))",,,,,,,,6.018757076599619,50.966361273592696,1.79158899998642e-08,1
47237489,yes,"POLYGON ((6.018809 50.9665734, 6.0187618 50.9665051, 6.0188504 50.96648, 6.0188482 50.9664768, 6.0188574 50.9664742, 6.0188472 50.9664594, 6.0188873 50.9664483, 6.0188997 50.966466, 6.0189618 50.9664483, 6.019008 50.966513, 6.0190107 50.9665172, 6.018809 50.9665734))",,,,,,,,6.018885446839343,50.96650853694034,1.7385060000070647e-08,1
47237509,yes,"POLYGON ((5.9661813 50.9804816, 5.9662468 50.9804288, 5.9663665 50.9804883, 5.9663623 50.9804918, 5.9663004 50.9805415, 5.9661844 50.9804834, 5.9661813 50.9804816))",,,,,,,,5.966273788340702,50.98048512053682,1.0274760000390986e-08,1
47237523,yes,"POLYGON ((5.9786027 50.9832464, 5.9786531 50.9832875, 5.9787073 50.9832611, 5.9786569 50.98322, 5.9786027 50.9832464))",,,,,,,,5.978655000000001,50.98325375,3.5581800000159197e-09,1
107536510,yes,"POLYGON ((5.995238 50.9912188, 5.995252 50.9911557, 5.995308 50.9911606, 5.9953667 50.9911657, 5.9953598 50.9911968, 5.9953527 50.9912288, 5.995348 50.9912284, 5.9952949 50.9912238, 5.995238 50.9912188))",,,,,,,,5.995302347717758,50.99119226486262,7.378999999776583e-09,1
107536621,yes,"POLYGON ((5.9988656 50.9941369, 5.9988635 50.9941334, 5.998831 50.9940799, 5.9988212 50.9940639, 5.9988788 50.9940498, 5.9989302 50.9940372, 5.9989346 50.9940274, 5.9989502 50.9940217, 5.9989741 50.9940437, 5.9989488 50.9940554, 5.9989773 50.9941096, 5.9989213 50.9941237, 5.9988656 50.9941369))",,,,,,,,5.998904044841963,50.99408285964705,1.032994500037174e-08,1
107710824,yes,"POLYGON ((5.9982473 50.9859954, 5.9982403 50.9859013, 5.9986382 50.9858897, 5.9986451 50.9859838, 5.9982473 50.9859954))",,,,,,,,5.998442723829671,50.985942548063115,3.7518304999348645e-08,1
107806979,yes,"POLYGON ((5.9974888 50.9921629, 5.9975012 50.9920903, 5.9975249 50.9920917, 5.9976068 50.9920975, 5.9975944 50.99217, 5.9974888 50.9921629))",,,,,,,,5.997547783051038,50.99213011886488,7.761339999725009e-09,1
107853385,yes,"POLYGON ((5.9977177 50.9866457, 5.997717 50.9866408, 5.9977258 50.9866402, 5.9977177 50.986574, 5.9977091 50.9865744, 5.9977044 50.986536, 5.9977272 50.9865347, 5.9977171 50.9864502, 5.9976942 50.9864512, 5.9976924 50.9864369, 5.9976889 50.9864074, 5.9976036 50.9864086, 5.9975685 50.9864091, 5.9975374 50.9864093, 5.997532 50.9863623, 5.9975388 50.986362, 5.997537 50.9863461, 5.9976686 50.9863397, 5.9976705 50.9863556, 5.9977531 50.9863516, 5.9977535 50.9863523, 5.9977612 50.986352, 5.9977724 50.9863435, 5.9978227 50.9863412, 5.9978613 50.986361, 5.9978642 50.9863918, 5.9978324 50.9864157, 5.9978148 50.9864166, 5.9978402 50.9866397, 5.9977177 50.9866457))",restaurant,,,,,,,5.99773803731185,50.98646193379688,4.6656034999456336e-08,1
107853564,yes,"POLYGON ((5.997656 50.9862278, 5.9976579 50.9861253, 5.9976588 50.9860847, 5.9977178 50.9860854, 5.9977151 50.9862284, 5.997656 50.9862278))",,,,,,,,5.997686894917051,50.9861565852322,8.45644500010383e-09,1
107890100,yes,"POLYGON ((5.9957896 50.9862137, 5.9957898 50.9861891, 5.9957901 50.986145, 5.9957902 50.986138, 5.9959126 50.9861384, 5.995912 50.9862142, 5.9957896 50.9862137))",,,,,,,,5.995851107111731,50.986176072674255,9.273035000055303e-09,1
107914549,yes,"POLYGON ((5.9976353 50.9884406, 5.9976279 50.9883595, 5.997742 50.9883574, 5.9977494 50.9884386, 5.9976353 50.9884406))",,,,,,,,5.997688661648616,50.98839902425025,9.27438499994719e-09,1
107951781,yes,"POLYGON ((5.9974602 50.9882902, 5.9974564 50.9882349, 5.9974994 50.9882339, 5.9975022 50.9882892, 5.9974602 50.9882902))",,,,,,,,5.997479542033666,50.98826194175607,2.353549999984754e-09,1
107951832,yes,"POLYGON ((5.9971375 50.9884527, 5.9971308 50.9883799, 5.9972128 50.9883779, 5.9972423 50.9883774, 5.997249 50.9884504, 5.9971375 50.9884527))",,,,,,,,5.997189931282048,50.98841505794402,8.153430000024992e-09,1
