,building,geometry,amenity,shop,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
89337393,yes,"POLYGON ((12.4180617 51.8185385, 12.4181212 51.8184053, 12.4179943 51.8183837, 12.4179349 51.8185168, 12.4180617 51.8185385))",,,,,12.41802803564462,51.81846107197508,1.817717000023201e-08,0
89337397,yes,"POLYGON ((12.413323 51.8175651, 12.4133601 51.8174365, 12.4132432 51.8174236, 12.413206 51.8175522, 12.413323 51.8175651))",,,,,12.413283071624495,51.81749435879114,1.551900500044628e-08,1
89337401,yes,"POLYGON ((12.4054443 51.8166344, 12.4055929 51.8166023, 12.4055511 51.8165284, 12.4054025 51.8165606, 12.4054443 51.8166344))",,,,,12.4054977137568,51.81658141967957,1.2317979999469215e-08,1
89337405,yes,"POLYGON ((12.40292 51.8082561, 12.4029676 51.8083272, 12.4030915 51.8082967, 12.4033043 51.8082414, 12.4032565 51.80817, 12.40292 51.8082561))",,,,,12.403112275003759,51.808248899142974,2.8263200000452882e-08,1
89337412,yes,"POLYGON ((12.4172967 51.8181206, 12.4174898 51.8181528, 12.4175335 51.8180525, 12.4173404 51.8180204, 12.4172967 51.8181206))",,,,,12.417415114198947,51.81808657924993,2.076322999976636e-08,0
89337417,yes,"POLYGON ((12.4145188 51.8179003, 12.4143554 51.8178681, 12.4143198 51.8179373, 12.4144832 51.8179694, 12.4145188 51.8179003))",,,,,12.414419282968424,51.81791876983335,1.2443650000367409e-08,1
89337422,yes,"POLYGON ((12.4054592 51.8166895, 12.4055483 51.8168135, 12.4056903 51.8167745, 12.4056012 51.8166505, 12.4054592 51.8166895))",,,,,12.40557475,51.816731999999995,2.1082900000078237e-08,1
89337442,yes,"POLYGON ((12.417215 51.8180931, 12.4172744 51.8179645, 12.4171528 51.8179431, 12.4170934 51.8180716, 12.417215 51.8180931))",,,,,12.417183905549473,51.81801808004964,1.6905809999823696e-08,0
89337457,yes,"POLYGON ((12.4150833 51.8179737, 12.4149199 51.8179508, 12.4148799 51.8180595, 12.4150433 51.8180825, 12.4150833 51.8179737))",,,,,12.41498161119252,51.818016628612014,1.8687750000004094e-08,1
89337458,yes,"POLYGON ((12.4171407 51.8183043, 12.4172819 51.8183318, 12.4173201 51.8182569, 12.417179 51.8182294, 12.4171407 51.8183043))",,,,,12.41723042016335,51.81828060347969,1.1624010000266046e-08,0
