,building,geometry,amenity,shop,leisure,sport,building:levels,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
110565849,yes,"POLYGON ((11.9775112 47.8241734, 11.977186 47.824117, 11.9772112 47.8240514, 11.9770931 47.824031, 11.9769791 47.8243278, 11.9771031 47.8243493, 11.97713 47.8242792, 11.9774493 47.8243345, 11.9775112 47.8241734))",,,,,,11.97722792490534,47.824211762859356,9.371571500008615e-08,2
110565851,yes,"POLYGON ((11.9853987 47.8214675, 11.9849667 47.8214604, 11.9849618 47.8215958, 11.9853937 47.8216029, 11.9853987 47.8214675))",,,,,,11.985180225532154,47.82153164739656,5.85211750004988e-08,2
110565854,yes,"POLYGON ((11.9859149 47.821378, 11.9862387 47.8213126, 11.9861962 47.8212177, 11.9860694 47.8212434, 11.9859332 47.8209395, 11.9857361 47.8209793, 11.9859149 47.821378))",,,,,,11.98595456075119,47.82117456864448,9.879491500041264e-08,2
110565856,yes,"POLYGON ((11.9854127 47.8212508, 11.9853375 47.8210819, 11.985013 47.821147, 11.9849211 47.8209406, 11.9847676 47.8209714, 11.9846512 47.8209947, 11.9848464 47.8214332, 11.9850157 47.8213992, 11.9849877 47.8213361, 11.9854127 47.8212508))",,,,,,11.984985496810769,47.82118434717231,1.8170096500009452e-07,2
110565857,yes,"POLYGON ((11.9758788 47.8230064, 11.9759755 47.8227942, 11.9757054 47.8227387, 11.9756535 47.8228526, 11.9757652 47.8228755, 11.9757204 47.8229739, 11.9758788 47.8230064))",,,,,,11.975817021369814,47.82286291920571,5.067421499966578e-08,2
110565858,yes,"POLYGON ((11.9857833 47.8207626, 11.9857296 47.8206186, 11.985558 47.8206618, 11.9856223 47.8207843, 11.9857833 47.8207626))",,,,,,11.985674612684084,47.820705225426344,2.4074024999640996e-08,2
110565859,yes,"POLYGON ((11.9847533 47.8207554, 11.9846031 47.8207771, 11.9846512 47.8209947, 11.9847676 47.8209714, 11.9847533 47.8207554))",,,,,,11.984692795330469,47.82087026974291,2.9601439999575765e-08,2
110565860,garages,"POLYGON ((11.9819029 47.8233776, 11.9818786 47.823283, 11.9817104 47.8233025, 11.9817348 47.8233971, 11.9819029 47.8233776))",,,,,,11.981806672160245,47.82334004564105,1.638181499996847e-08,2
110565863,yes,"POLYGON ((11.9730375 47.8195925, 11.9728591 47.8196071, 11.9728909 47.8197818, 11.9730692 47.8197672, 11.9730375 47.8195925))",,,,,,11.972964172852018,47.819687142013045,3.162129500033807e-08,2
110565864,farm_auxiliary,"POLYGON ((11.9692999 47.8258548, 11.9693996 47.8257981, 11.9691923 47.8256338, 11.9690927 47.8256904, 11.9692999 47.8258548))",,,,,,11.969246146554598,47.82574429382186,2.811819000047766e-08,2
110565869,yes,"POLYGON ((11.9595223 47.8268571, 11.9590231 47.8268523, 11.9590258 47.8267234, 11.959525 47.8267282, 11.9595223 47.8268571))",,,,,,11.95927405,47.82679025,6.435984000000821e-08,2
