,building,geometry,amenity,healthcare,healthcare:speciality,building:levels,school_type,type,members,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
264111241,yes,"POLYGON ((5.9835292 50.9915806, 5.9835146 50.9914763, 5.9835051 50.9914064, 5.9836896 50.9913962, 5.9837138 50.9915706, 5.9835437 50.9915799, 5.9835292 50.9915806))",,,,,,,,5.983609397767618,50.991488475895196,3.243371500008026e-08,3
264111244,yes,"POLYGON ((5.991925 50.9929348, 5.9919837 50.9925266, 5.9920275 50.9925289, 5.9921555 50.9925363, 5.9921988 50.9925389, 5.9921475 50.9928946, 5.9921398 50.9929472, 5.991925 50.9929348))",,,,,,,,5.992061866092563,50.99273677826586,8.852858500034781e-08,3
264111246,yes,"POLYGON ((5.992374 50.9930182, 5.9923818 50.9929642, 5.9923944 50.99288, 5.9929101 50.9929072, 5.9929579 50.9929097, 5.9930415 50.9929144, 5.9930211 50.9930525, 5.992374 50.9930182))",,,,,,,,5.9927077487932445,50.99296621559876,9.018673500062143e-08,3
264111248,yes,"POLYGON ((5.9928739 50.9928703, 5.9928963 50.9927191, 5.9929396 50.9927215, 5.9931973 50.9927366, 5.9932423 50.9927393, 5.9932204 50.9928887, 5.9929628 50.9928751, 5.9929152 50.9928727, 5.9928739 50.9928703))",,,,,,,,5.993057842550616,50.992804324224686,5.2520424999714765e-08,3
264127068,yes,"POLYGON ((5.9895774 50.9866729, 5.9895912 50.9866518, 5.989677 50.986522, 5.9896908 50.9865016, 5.9897518 50.9865176, 5.9897595 50.9865057, 5.9898969 50.9865417, 5.9898883 50.9865546, 5.9904819 50.9867105, 5.9900083 50.9874215, 5.9890258 50.9871573, 5.9891386 50.9869879, 5.9895931 50.9871101, 5.9896955 50.9869564, 5.9897226 50.9869156, 5.9898381 50.986742, 5.9895774 50.9866729))",,,,,,,,5.989857092608008,50.98698202602158,5.871601700019615e-07,3
264127083,yes,"POLYGON ((5.9860526 50.9871138, 5.9861825 50.9869043, 5.9863349 50.986942, 5.9862049 50.9871516, 5.9860526 50.9871138))",,,,,,,,5.9861937338933755,50.987027922849634,3.6830554999785695e-08,3
264127115,yes,"POLYGON ((5.997066 50.9862215, 5.9970689 50.986119, 5.9976579 50.9861253, 5.997656 50.9862278, 5.997066 50.9862215))",,,,,,,,5.997362194540147,50.98617341443132,6.043887000030781e-08,3
264127125,yes,"POLYGON ((5.9874367 50.9865674, 5.9876565 50.986236, 5.9880528 50.9863406, 5.9878407 50.9866655, 5.9878357 50.9866727, 5.9874367 50.9865674))",,,,,,,,5.987745352335073,50.98645439501849,1.5489540500063006e-07,3
264127160,yes,"POLYGON ((5.989201 50.9865495, 5.98929 50.9864151, 5.9896169 50.9865037, 5.989616 50.9865055, 5.98953 50.9866353, 5.9895279 50.986638, 5.9892425 50.9865609, 5.989201 50.9865495))",,,,,,,,5.989409015339493,50.98652663200666,5.186677499961668e-08,3
264127172,yes,"POLYGON ((5.9868798 50.9860115, 5.9870277 50.9857881, 5.9882516 50.9861111, 5.9882507 50.9861126, 5.9881835 50.9862151, 5.9881421 50.9862041, 5.9880613 50.9863277, 5.9880258 50.9863183, 5.9880282 50.9863146, 5.9868798 50.9860115))",,,,,,,,5.987556010151903,50.986057716038445,3.1573132499663704e-07,3
